Plot,Treatment,Dam,Sire,Survive_to_germination,Fitness
1,Drought,8,64,0,0
1,Drought,12,64,1,0
1,Drought,18,78,0,0
1,Drought,22,57,0,0
1,Drought,26,21,0,0
1,Drought,29,4,1,0
1,Drought,30,95,1,0
1,Drought,65,4,0,0
1,Drought,68,7,0,0
1,Drought,69,77,0,0
1,Drought,70,11,0,0
1,Drought,80,6,0,0
1,Drought,81,6,1,0
1,Drought,87,23,0,0
1,Drought,91,95,1,0
1,Drought,93,96,0,0
1,Drought,101,40,1,0
2,Drought,8,64,1,0
2,Drought,12,64,1,0
2,Drought,20,7,0,0
2,Drought,24,47,1,0
2,Drought,29,4,1,0
2,Drought,33,77,0,0
2,Drought,34,38,0,0
2,Drought,35,7,1,0
2,Drought,48,23,0,0
2,Drought,49,47,0,0
2,Drought,51,38,1,0
2,Drought,61,23,1,0
2,Drought,63,77,1,0
2,Drought,65,4,1,0
2,Drought,68,7,1,0
2,Drought,69,77,1,0
2,Drought,70,11,1,0
2,Drought,75,41,1,0
2,Drought,80,6,0,0
2,Drought,81,6,0,0
2,Drought,82,64,0,0
2,Drought,86,89,0,0
2,Drought,87,23,0,0
2,Drought,90,95,0,0
2,Drought,93,96,0,0
2,Drought,101,40,1,0
3,Ambient,8,64,1,0
3,Ambient,9,41,1,0
3,Ambient,12,64,0,0
3,Ambient,18,78,0,0
3,Ambient,25,89,0,0
3,Ambient,29,4,1,0
3,Ambient,30,95,1,0
3,Ambient,31,96,1,0
3,Ambient,34,38,0,0
3,Ambient,35,7,0,0
3,Ambient,43,21,0,0
3,Ambient,46,6,0,0
3,Ambient,48,23,1,0
3,Ambient,63,77,1,0
3,Ambient,65,4,0,0
3,Ambient,67,57,0,0
3,Ambient,68,7,0,0
3,Ambient,69,77,1,0
3,Ambient,76,41,1,0
3,Ambient,81,6,0,0
3,Ambient,82,64,1,0
3,Ambient,83,38,1,0
3,Ambient,86,89,1,0
3,Ambient,87,23,0,0
3,Ambient,90,95,1,0
3,Ambient,91,95,0,0
3,Ambient,100,11,1,0
3,Ambient,101,40,0,0
4,Ambient,8,64,1,0
4,Ambient,18,78,1,0
4,Ambient,24,47,0,0
4,Ambient,30,95,1,0
4,Ambient,34,38,1,0
4,Ambient,35,7,0,0
4,Ambient,37,57,0,0
4,Ambient,43,21,0,0
4,Ambient,46,6,1,0
4,Ambient,51,38,0,0
4,Ambient,65,4,1,0
4,Ambient,67,57,1,0
4,Ambient,68,7,0,0
4,Ambient,70,11,1,0
4,Ambient,82,64,1,0
4,Ambient,83,38,0,0
4,Ambient,84,4,1,0
4,Ambient,101,40,1,0
5,Ambient,17,47,0,0
5,Ambient,18,78,0,0
5,Ambient,28,21,1,0
5,Ambient,30,95,0,0
5,Ambient,31,96,0,0
5,Ambient,43,21,0,0
5,Ambient,46,6,0,0
5,Ambient,70,11,0,0
5,Ambient,86,89,0,0
5,Ambient,87,23,0,0
5,Ambient,92,94,0,0
5,Ambient,99,96,1,0
5,Ambient,101,40,0,0
6,Ambient,12,64,1,0
6,Ambient,14,94,0,0
6,Ambient,19,40,1,0
6,Ambient,20,7,0,0
6,Ambient,22,57,0,0
6,Ambient,25,89,0,0
6,Ambient,26,21,0,0
6,Ambient,28,21,0,0
6,Ambient,37,57,1,0
6,Ambient,43,21,0,0
6,Ambient,46,6,0,0
6,Ambient,49,47,0,0
6,Ambient,51,38,0,0
6,Ambient,65,4,0,0
6,Ambient,70,11,0,0
6,Ambient,75,41,0,0
6,Ambient,80,6,0,0
6,Ambient,81,6,0,0
6,Ambient,82,64,0,0
6,Ambient,84,4,0,0
6,Ambient,90,95,0,0
6,Ambient,98,78,0,0
6,Ambient,99,96,0,0
6,Ambient,100,11,1,0
7,Drought,8,64,1,0
7,Drought,12,64,1,0
7,Drought,16,40,1,0
7,Drought,20,7,1,0
7,Drought,26,21,1,0
7,Drought,30,95,1,0
7,Drought,31,96,0,0
7,Drought,43,21,0,0
7,Drought,44,11,1,0
7,Drought,46,6,1,0
7,Drought,48,23,0,0
7,Drought,49,47,1,0
7,Drought,51,38,0,0
7,Drought,61,23,1,0
7,Drought,62,94,1,0
7,Drought,67,57,1,0
7,Drought,68,7,1,0
7,Drought,69,77,1,0
7,Drought,70,11,0,0
7,Drought,75,41,1,0
7,Drought,76,41,0,0
7,Drought,80,6,0,0
7,Drought,82,64,0,0
7,Drought,87,23,1,0
7,Drought,91,95,0,0
7,Drought,93,96,1,0
7,Drought,98,78,0,0
7,Drought,100,11,1,0
8,Drought,8,64,1,0
8,Drought,12,64,1,0
8,Drought,18,78,1,0
8,Drought,20,7,1,0
8,Drought,22,57,1,0
8,Drought,25,89,1,0
8,Drought,26,21,0,0
8,Drought,30,95,1,0
8,Drought,31,96,0,0
8,Drought,37,57,1,0
8,Drought,43,21,1,0
8,Drought,65,4,0,0
8,Drought,75,41,1,0
8,Drought,76,41,1,0
8,Drought,87,23,0,0
8,Drought,93,96,1,0
8,Drought,100,11,1,0
9,Drought,8,64,0,0
9,Drought,9,41,0,0
9,Drought,12,64,0,0
9,Drought,14,94,0,0
9,Drought,16,40,0,0
9,Drought,17,47,0,0
9,Drought,19,40,0,0
9,Drought,20,7,0,0
9,Drought,22,57,0,0
9,Drought,24,47,0,0
9,Drought,28,21,0,0
9,Drought,29,4,1,0
9,Drought,30,95,0,0
9,Drought,34,38,0,0
9,Drought,43,21,0,0
9,Drought,46,6,0,0
9,Drought,49,47,0,0
9,Drought,51,38,1,0
9,Drought,65,4,1,0
9,Drought,67,57,0,0
9,Drought,68,7,0,0
9,Drought,70,11,0,0
9,Drought,75,41,0,0
9,Drought,76,41,0,0
9,Drought,82,64,0,0
9,Drought,83,38,0,0
9,Drought,84,4,1,0
9,Drought,86,89,1,0
9,Drought,87,23,0,0
9,Drought,92,94,0,0
9,Drought,93,96,0,0
9,Drought,99,96,1,0
9,Drought,100,11,0,0
9,Drought,101,40,1,0
10,Ambient,8,64,0,0
10,Ambient,9,41,0,0
10,Ambient,16,40,0,0
10,Ambient,17,47,0,0
10,Ambient,18,78,0,0
10,Ambient,22,57,0,0
10,Ambient,25,89,0,0
10,Ambient,29,4,0,0
10,Ambient,30,95,0,0
10,Ambient,34,38,1,0
10,Ambient,43,21,0,0
10,Ambient,44,11,0,0
10,Ambient,46,6,0,0
10,Ambient,61,23,0,0
10,Ambient,62,94,0,0
10,Ambient,63,77,1,0
10,Ambient,65,4,0,0
10,Ambient,67,57,0,0
10,Ambient,68,7,0,0
10,Ambient,69,77,0,0
10,Ambient,70,11,0,0
10,Ambient,75,41,0,0
10,Ambient,80,6,1,0
10,Ambient,82,64,0,0
10,Ambient,84,4,0,0
10,Ambient,86,89,0,0
10,Ambient,87,23,0,0
10,Ambient,92,94,1,0
10,Ambient,101,40,0,0
1,Drought,9,41,1,782
1,Drought,14,94,1,608
1,Drought,16,40,1,592
1,Drought,17,47,1,1681
1,Drought,19,40,1,818
1,Drought,20,7,1,2042
1,Drought,24,47,1,215
1,Drought,25,89,1,452
1,Drought,28,21,1,421
1,Drought,31,96,1,864
1,Drought,33,77,1,1113
1,Drought,34,38,1,1639
1,Drought,35,7,1,1888
1,Drought,37,57,1,1320
1,Drought,43,21,1,1139
1,Drought,44,11,1,373
1,Drought,46,6,1,2009
1,Drought,48,23,1,75
1,Drought,49,47,1,786
1,Drought,51,38,1,428
1,Drought,61,23,1,1857
1,Drought,62,94,1,1136
1,Drought,63,77,1,1379
1,Drought,67,57,1,1487
1,Drought,75,41,1,890
1,Drought,76,41,1,451
1,Drought,82,64,1,0
1,Drought,83,38,1,170
1,Drought,84,4,1,1006
1,Drought,86,89,1,2228
1,Drought,90,95,1,1107
1,Drought,92,94,1,1024
1,Drought,98,78,1,869
1,Drought,99,96,1,423
1,Drought,100,11,1,739
2,Drought,9,41,1,494
2,Drought,14,94,1,1508
2,Drought,16,40,1,1238
2,Drought,17,47,1,1236
2,Drought,18,78,1,341
2,Drought,19,40,1,2491
2,Drought,22,57,1,1028
2,Drought,25,89,1,864
2,Drought,26,21,1,931
2,Drought,28,21,1,65
2,Drought,30,95,1,1760
2,Drought,31,96,1,1989
2,Drought,37,57,1,2307
2,Drought,43,21,1,913
2,Drought,44,11,0,0
2,Drought,46,6,1,1150
2,Drought,62,94,1,3410
2,Drought,67,57,1,536
2,Drought,76,41,0,0
2,Drought,83,38,1,177
2,Drought,84,4,1,12
2,Drought,91,95,1,1817
2,Drought,92,94,1,1450
2,Drought,98,78,1,459
2,Drought,99,96,1,564
2,Drought,100,11,1,3314
3,Ambient,14,94,1,1184
3,Ambient,16,40,1,1611
3,Ambient,17,47,1,2061
3,Ambient,19,40,1,3067
3,Ambient,20,7,1,500
3,Ambient,22,57,1,1224
3,Ambient,24,47,1,845
3,Ambient,26,21,1,724
3,Ambient,28,21,1,0
3,Ambient,33,77,0,0
3,Ambient,37,57,1,920
3,Ambient,44,11,1,47
3,Ambient,49,47,1,1313
3,Ambient,51,38,1,1109
3,Ambient,61,23,1,728
3,Ambient,62,94,1,1859
3,Ambient,70,11,1,928
3,Ambient,75,41,1,2226
3,Ambient,80,6,1,1951
3,Ambient,84,4,1,1536
3,Ambient,92,94,1,4196
3,Ambient,93,96,1,9
3,Ambient,98,78,1,3855
3,Ambient,99,96,0,0
4,Ambient,9,41,1,1049
4,Ambient,12,64,1,1
4,Ambient,14,94,1,1685
4,Ambient,16,40,1,2195
4,Ambient,17,47,1,107
4,Ambient,19,40,1,1144
4,Ambient,20,7,1,462
4,Ambient,22,57,1,1932
4,Ambient,25,89,1,1564
4,Ambient,26,21,1,109
4,Ambient,28,21,1,271
4,Ambient,29,4,1,1096
4,Ambient,31,96,1,1396
4,Ambient,33,77,1,1906
4,Ambient,44,11,1,677
4,Ambient,48,23,1,371
4,Ambient,49,47,1,1465
4,Ambient,61,23,1,841
4,Ambient,62,94,1,62
4,Ambient,63,77,1,350
4,Ambient,69,77,1,1805
4,Ambient,75,41,1,1259
4,Ambient,76,41,1,283
4,Ambient,80,6,1,1869
4,Ambient,81,6,1,210
4,Ambient,86,89,1,327
4,Ambient,87,23,1,1620
4,Ambient,90,95,1,998
4,Ambient,91,95,1,0
4,Ambient,92,94,1,155
4,Ambient,93,96,1,5
4,Ambient,98,78,1,1418
4,Ambient,99,96,1,1
4,Ambient,100,11,1,8
5,Ambient,8,64,1,1898
5,Ambient,9,41,1,155
5,Ambient,12,64,1,1387
5,Ambient,14,94,1,160
5,Ambient,16,40,1,682
5,Ambient,19,40,1,53
5,Ambient,20,7,1,93
5,Ambient,22,57,1,0
5,Ambient,24,47,1,148
5,Ambient,25,89,1,241
5,Ambient,26,21,1,170
5,Ambient,29,4,1,249
5,Ambient,33,77,1,27
5,Ambient,34,38,1,208
5,Ambient,35,7,1,46
5,Ambient,37,57,1,431
5,Ambient,44,11,1,1382
5,Ambient,48,23,1,0
5,Ambient,49,47,1,28
5,Ambient,51,38,1,0
5,Ambient,61,23,1,15
5,Ambient,62,94,1,165
5,Ambient,63,77,1,0
5,Ambient,65,4,1,13
5,Ambient,67,57,1,580
5,Ambient,68,7,1,701
5,Ambient,69,77,1,79
5,Ambient,75,41,1,92
5,Ambient,76,41,1,614
5,Ambient,80,6,1,141
5,Ambient,81,6,1,1058
5,Ambient,82,64,1,0
5,Ambient,83,38,1,115
5,Ambient,84,4,1,448
5,Ambient,90,95,1,246
5,Ambient,91,95,1,22
5,Ambient,93,96,1,1969
5,Ambient,98,78,1,25
5,Ambient,100,11,1,220
6,Ambient,8,64,1,994
6,Ambient,9,41,1,449
6,Ambient,16,40,1,3115
6,Ambient,17,47,1,2373
6,Ambient,18,78,1,232
6,Ambient,24,47,1,1579
6,Ambient,29,4,1,4041
6,Ambient,30,95,1,2676
6,Ambient,31,96,1,1667
6,Ambient,33,77,1,3028
6,Ambient,34,38,1,1372
6,Ambient,35,7,1,1088
6,Ambient,44,11,1,2024
6,Ambient,48,23,1,2446
6,Ambient,61,23,1,436
6,Ambient,62,94,1,1881
6,Ambient,63,77,1,1807
6,Ambient,67,57,1,3558
6,Ambient,68,7,1,1050
6,Ambient,69,77,1,1083
6,Ambient,76,41,1,977
6,Ambient,83,38,1,1244
6,Ambient,86,89,1,2843
6,Ambient,87,23,1,1350
6,Ambient,91,95,1,717
6,Ambient,92,94,1,2896
6,Ambient,93,96,1,2177
6,Ambient,101,40,1,643
7,Drought,9,41,1,57
7,Drought,14,94,1,2077
7,Drought,17,47,1,1642
7,Drought,18,78,1,1437
7,Drought,19,40,1,5038
7,Drought,22,57,1,848
7,Drought,24,47,1,4738
7,Drought,25,89,1,1423
7,Drought,28,21,1,1212
7,Drought,29,4,1,1094
7,Drought,33,77,1,0
7,Drought,34,38,1,531
7,Drought,35,7,1,1522
7,Drought,37,57,1,1535
7,Drought,63,77,1,737
7,Drought,65,4,1,830
7,Drought,81,6,1,1040
7,Drought,83,38,1,1231
7,Drought,84,4,1,1085
7,Drought,86,89,1,280
7,Drought,90,95,1,1526
7,Drought,92,94,1,1791
7,Drought,99,96,1,3184
7,Drought,101,40,1,1184
8,Drought,9,41,1,287
8,Drought,14,94,1,1086
8,Drought,16,40,1,7
8,Drought,17,47,1,1497
8,Drought,19,40,1,1671
8,Drought,24,47,1,1342
8,Drought,28,21,1,493
8,Drought,29,4,1,40
8,Drought,33,77,1,97
8,Drought,34,38,1,566
8,Drought,35,7,1,1137
8,Drought,44,11,1,1382
8,Drought,46,6,1,1030
8,Drought,48,23,1,15
8,Drought,49,47,1,784
8,Drought,51,38,1,381
8,Drought,61,23,1,0
8,Drought,62,94,1,292
8,Drought,63,77,1,0
8,Drought,67,57,1,114
8,Drought,68,7,1,0
8,Drought,69,77,1,57
8,Drought,70,11,1,56
8,Drought,80,6,1,0
8,Drought,81,6,1,928
8,Drought,82,64,1,601
8,Drought,83,38,1,702
8,Drought,84,4,1,1060
8,Drought,86,89,1,702
8,Drought,90,95,1,921
8,Drought,91,95,1,950
8,Drought,92,94,1,610
8,Drought,98,78,1,572
8,Drought,99,96,1,1205
8,Drought,101,40,1,836
9,Drought,18,78,1,594
9,Drought,25,89,1,2214
9,Drought,26,21,1,2066
9,Drought,31,96,1,722
9,Drought,33,77,1,3267
9,Drought,35,7,1,2001
9,Drought,37,57,1,1268
9,Drought,44,11,1,1349
9,Drought,48,23,1,1099
9,Drought,61,23,1,4061
9,Drought,62,94,1,2904
9,Drought,63,77,1,803
9,Drought,69,77,1,753
9,Drought,80,6,1,1707
9,Drought,81,6,1,2985
9,Drought,90,95,1,776
9,Drought,91,95,1,1558
9,Drought,98,78,1,2143
10,Ambient,12,64,1,583
10,Ambient,14,94,1,1226
10,Ambient,19,40,1,841
10,Ambient,20,7,1,561
10,Ambient,24,47,1,2597
10,Ambient,26,21,1,1161
10,Ambient,28,21,1,234
10,Ambient,31,96,1,3369
10,Ambient,33,77,1,742
10,Ambient,35,7,1,233
10,Ambient,37,57,1,495
10,Ambient,48,23,1,1494
10,Ambient,49,47,1,18
10,Ambient,51,38,1,1125
10,Ambient,76,41,1,941
10,Ambient,81,6,1,1435
10,Ambient,83,38,1,193
10,Ambient,90,95,1,111
10,Ambient,91,95,1,614
10,Ambient,93,96,1,1751
10,Ambient,98,78,1,1553
10,Ambient,99,96,1,1443
10,Ambient,100,11,1,2553
