`,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes,Perimeter  (mm),,
5,G1,HR_090,HR_126,7R,,,,,,,,,
5,G1,HR_070,HR_061,8R,,,,,,,,,
5,G1,HR_090,HR_053,9L,,,,,,,,,
5,G1,HR_064,HR_028,9R,5,19.351,166,,0.94,,44.075,,
5,G2,HR_059,HR_011,10L,2,36.512,162,,1.88,,71.126,,
5,G1,HR_156,HR_197,10R,,,,,,,,,
5,G1,HR_196,HR_170,11L,,,,,,,,,
5,G1,HR_171,HR_073,11R,,,,,,,,,
5,G2,HR_070,HR_061,12L,,,,,,,,,
5,G1,HR_160,HR_173,13L,1,96.86,175,,5.08,,139.436,,
5,G1,HR_160,HR_079,13R,,,,,,,,,
5,G2,HR_200,HR_159,14L,,,,,,,,,
5,G1,HR_066,HR_137,14R,,,,,,,,,
5,G1,HR_160,HR_173,15L,3,25.8,150,,1.42,,57.292,,
5,G2,HR_171,HR_057,15R,,,,,,,,,
5,G1,HR_121,HR_141,16L,,,,,,,,,
5,G1,HR_008,HR_012,16R,,,,,,,,,
5,G1,HR_057,HR_110,17L,,,,,,,,,
5,G2,HR_008,HR_042,17R,,,,,,,,,
5,G2,HR_090,HR_103,18L,,,,,,,,,
5,G1,HR_157,HR_085,18R,,,,,,,,,
5,G1,HR_059,HR_155,19L,2,23.489,149,,1.16,,55.128,,
5,G2,HR_008,HR_042,19R,,,,,,,,,
5,G1,HR_005,HR_040,20L,,,,,,,,,
5,G2,HR_070,HR_165,20R,,,,,,,,,
5,G2,HR_100,HR_192,21L,1,50.334,161,,2.56,,90.511,,
5,G1,HR_180,HR_179,21R,2,33.124,158,,1.67,,53.916,,
5,G2,HR_148,HR_109,22L,,,,,,,,,
5,G1,HR_121,HR_141,22R,,,,,,,,,
5,G2,HR_069,HR_108,23L,,,,,,,,,
5,G1,HR_110,HR_037,23R,3,29.386,130,,1.73,,51.917,,
5,G1,HR_168,HR_101,24L,2,11.16,145,,0.83,,31.413,,
5,G2,HR_135,HR_004,24R,,,,,,,,,
5,G2,HR_095,HR_124,25L,3,15.072,173,,1.15,,33.033,,
5,G2,HR_141,HR_184,25R,2,21.157,154,,1.16,,42.494,,
5,G1,HR_053,HR_092,26L,5,27.085,168,,1.64,,44.622,,
5,G2,HR_189,HR_168,26R,5,54.115,160,,3.05,,98.887,,
5,G2,HR_147,HR_150,27L,3,22.603,177,,1.07,,47.658,,
5,G1,HR_005,HR_040,27R,4,16.47,168,,0.93,,33.97,,
5,G2,HR_085,HR_035,28R,1,24.965,123,,1.44,,43.561,,
5,G2,HR_196,HR_054,29L,1,39.009,164,,1.97,,66.663,,
5,G1,HR_148,HR_114,29R,3,51.634,157,,3.14,,74.373,,
5,G1,HR_141,HR_184,30L,1,17.589,160,,1.14,,39.783,,
5,G2,HR_160,HR_033,30R,,,,,,,,,
5,G1,HR_171,HR_057,31L,3,17.286,172,,1,,39.614,,
5,G2,HR_139,HR_129,31R,,,,,,,,,
5,G2,HR_069,HR_133,32L,3,17.746,,,1.13,,38.532,,
5,G1,HR_070,HR_165,32R,,,,,,,,,
5,G2,HR_057,HR_147,33L,3,31.652,147,,1.61,,60.774,,
5,G2,HR_027,HR_043,33R,,,,,,,,,
5,G2,HR_074,HR_115,34L,4,43.261,159,,2.18,,74.239,,
5,G1,HR_059,HR_155,34R,1,22.545,180,,0.84,,47.754,,
5,G2,HR_121,HR_105,35L,,,,,,,,,
5,G2,HR_148,HR_109,35R,,,,,,,,,
5,G2,HR_110,HR_032,36L,3,14.494,170,,0.71,,42.321,,
5,G2,HR_147,HR_150,36R,,,,,,,,,
5,G2,HR_189,HR_018,37L,,,,,,,,,
5,G1,HR_189,HR_051,37R,3,18.545,158,,0.97,,39.547,,
5,G1,HR_069,HR_108,38L,1,80.387,148,,4.71,,100.847,,
5,G2,HR_156,HR_193,38R,,,,,,,,,
5,G1,HR_034,HR_080,39L,,,,,,,,,
5,G2,HR_171,HR_001,39R,1,12.353,155,,0.66,,35.227,,
5,G2,HR_160,HR_173,40L,3,19.51,174,,0.86,,46.557,,
5,G1,HR_062,HR_134,40R,,,,,,,,,
5,G2,HR_115,HR_131,41L,4,17.745,143,,0.63,,35.637,,
5,G2,HR_064,HR_028,41R,,,,,,,,,
5,G2,HR_189,HR_051,42L,3,30.52,174,,1.74,,56.879,,
5,G2,HR_053,HR_038,42R,,,,,,,,,
5,G1,HR_027,HR_119,43L,,,,,0.98,,,,
5,G1,HR_070,HR_123,43R,4,36.706,158,,2.45,,66.412,,
5,G2,HR_100,HR_135,44L,3,33.993,180,,1.77,,50.463,,
5,G1,HR_135,HR_083,44R,,,,,,,,,
5,G2,HR_090,HR_103,45L,3,23.613,171,,1.08,,51.468,,
5,G1,HR_133,HR_161,45R,5,37.281,150,,1.65,,66.146,,
6,G2,HR_108,HR_177,1L,1,10.641,137,,0.61,,28.176,,
6,G1,HR_141,HR_015,1R,4,18.246,180,leaf folded over and broken,,,,,
6,G2,HR_070,HR_123,2L,5,33.862,182,leaf broken,1.58,,N/A,Too broken ,
6,G1,HR_139,HR_062,2R,4,20.357,194,,1.39,,42.965,,
6,G2,HR_139,HR_129,3L,,,,,,,,,
6,G1,HR_002,HR_056,3R,,,,,,,,,
6,G1,HR_155,HR_121,4L,,,,,,,,,
6,G2,HR_034,HR_080,4R,,,,,,,,,
6,G1,HR_131,HR_049,5L,,,,,,,,,
6,G2,HR_034,HR_017,5R,,,,,,,,,
6,G1,HR_027,HR_119,6L,,,,,,,,,
6,G1,HR_189,HR_051,6R,2,18.448,182,,1.08,,38.784,,
6,G2,HR_066,HR_087,7L,1,17.096,158,,0.77,,41.077,,
6,G1,HR_085,HR_107,7R,2,36.055,177,,1.79,,64.985,"stem broken, includes overlap",
6,G1,HR_115,HR_026,8L,,,,,,,,,
6,G2,HR_125,HR_034,8R,,,,,,,,,
6,G1,HR_070,HR_061,9L,,,,,,,,,
6,G1,HR_006,HR_142,9R,,,,,,,,,
6,G2,HR_135,HR_152,10L,2,15.824,157,,0.77,,48.996,,
6,G1,HR_057,HR_110,10R,,,,,,,,,
6,G2,HR_164,HR_041,11L,,,,,,,,,
6,G1,HR_088,HR_182,11R,,,,,,,,,
6,G1,HR_110,HR_032,12L,,,,,,,,,
6,G2,HR_147,HR_118,12R,,,,,,,,,
6,G2,HR_034,HR_112,13L,,,,,,,,,
6,G2,HR_090,HR_126,14L,,,,,,,,,
6,G2,HR_175,HR_027,14R,,,,,,,,,
6,G2,HR_189,HR_051,15L,,,,,,,,,
6,G2,HR_006,HR_142,15R,,,,,,,,,
6,G1,HR_148,HR_109,16L,,,,,,,,,
6,G1,HR_195,HR_181,16R,,,,,,,,,
6,G2,HR_156,HR_197,17L,3,25.326,130,,1.33,,54.796,,
6,G2,HR_002,HR_071,17R,,,,,,,,,
6,G1,HR_074,HR_066,18L,,,,,,,,,
6,G1,HR_006,HR_146,18R,,,,,,,,,
6,G2,HR_008,HR_012,19L,,,,,,,,,
6,G2,HR_135,HR_004,19R,,,,,,,,,
6,G1,HR_108,HR_016,20L,3,17.692,155,,1.04,,38.181,,
6,G1,HR_002,HR_059,20R,3,39.66,164,,1.84,,75.829,,
6,G1,HR_164,HR_201,21L,,,,,,,,,
6,G2,HR_131,HR_049,21R,,,,,,,,,
6,G1,HR_069,HR_108,22L,1,27.53,136,,1.61,,48.143,,
6,G1,HR_100,HR_195,22R,,,,,,,,,
6,G1,HR_074,HR_066,23L,,,,,,,,,
6,G2,HR_027,HR_119,23R,,,,,,,,,
6,G1,HR_133,HR_072,24L,,,,,,,,,
6,G2,HR_110,HR_037,24R,,,,,,,,,
6,G2,HR_074,HR_070,25L,,,,,,,,,
6,G1,HR_133,HR_072,25R,,,,,,,,,
6,G1,HR_141,HR_015,26L,4,18.737,190,leaf broken + folded over,0.96,,38.15 + 5.15,,
6,G2,HR_095,HR_178,26R,3,32.897,165,,1.56,,60.827,,
6,G2,HR_157,HR_085,27L,,,,,,,,,
6,G1,HR_064,HR_190,27R,,,,,,,,,
6,G2,HR_088,HR_014,28L,,,,,,,,,
6,G1,HR_139,HR_129,28R,,,,,,,,,
6,G2,HR_133,HR_161,29L,,,,,,,,,
6,G2,HR_005,HR_040,29R,,,,,,,,,
6,G2,HR_196,HR_170,30L,,,,,,,,,
6,G1,HR_062,HR_116,30R,,,,,,,,,
6,G1,HR_008,HR_058,31L,1,30.311,189,folded over,1.23,,46.109,,
6,G2,HR_196,HR_183,31R,,,,,,,,,
6,G1,HR_149,HR_174,32L,,,,,,,,,
6,G2,HR_171,HR_057,32R,,,,,,,,,
6,G2,HR_066,HR_087,33L,3,22.654,177,,1.15,,45.552,,
6,G2,HR_175,HR_196,33R,3,33.066,175,,1.53,,62.111,,
6,G1,HR_135,HR_004,34L,,,,,,,,,
6,G2,HR_133,HR_072,34R,,,,,,,,,
6,G1,HR_156,HR_025,35L,,,,,,,,,
6,G1,HR_180,HR_036,35R,3,22.995,185,,1.04,,40.504,,
6,G2,HR_108,HR_016,36L,,,,,,,,,
6,G1,HR_085,HR_176,36R,,,,,,,,,
6,G1,HR_168,HR_148,37L,,,,,,,,,
6,G2,HR_100,HR_192,37R,,,,,,,,,
6,G1,HR_195,HR_104,38L,,,,,,,,,
6,G1,HR_125,HR_034,38R,,,,,,,,,
6,G2,HR_149,HR_065,39L,5,15.916,156,,0.76,,35.382,,
6,G1,HR_005,HR_180,39R,,,,,,,,,
6,G1,HR_066,HR_137,40L,,,,,,,,,
6,G1,HR_156,HR_197,40R,,,,,,,,,
6,G2,HR_168,HR_064,41L,,,,,,,,,
6,G2,HR_069,HR_133,41R,,,,,,,,,
6,G2,HR_168,HR_101,42L,,,,,,,,,
6,G2,HR_069,HR_133,42R,,,,,,,,,
6,G2,HR_147,HR_021,43L,,,,,,,,,
6,G1,HR_110,HR_039,43R,,,,,,,,,
6,G1,HR_171,HR_057,44L,,,,,,,,,
6,G2,HR_157,HR_088,44R,,,,,,,,,
6,G2,HR_121,HR_139,45L,,,,,,,,,
6,G1,HR_131,HR_113,45R,,,,,,,,,
7,G2,HR_088,HR_067,1L,2,22.788,166,,1.21,,50.345,,
7,G1,HR_005,HR_149,1R,,,,,,,,,
7,G1,HR_155,HR_009,2L,3,46.24,141,,2.21,,77.767,,
7,G1,HR_115,HR_026,2R,,,,,,,,,
7,G2,HR_074,HR_066,3L,1,34.089,164,,1.72,,63.359,,
7,G1,HR_196,HR_054,3R,,,,,,,,,
7,G2,HR_002,HR_056,4L,2,49.023,167,,2.17,,87.639,,
7,G1,HR_156,HR_025,4R,,,,,,,,,
7,G1,HR_095,HR_020,5L,2,92.932,142,,5.42,,123.589,,
7,G2,HR_059,HR_166,5R,,,,,,,,,
7,G2,HR_157,HR_095,6L,1,15.373,165,,0.62,,40.093,,
7,G2,HR_135,HR_083,6R,,,,,,,,,
7,G2,HR_121,HR_139,7L,,,,,,,,,
7,G1,HR_069,HR_133,7R,,,,,,,,,
7,G2,HR_088,HR_014,8L,,,,,,,,,
7,G1,HR_053,HR_092,8R,,,,,,,,,
7,G1,HR_157,HR_095,9L,2,44.404,150,,3.17,,72.84,,
7,G1,HR_059,HR_011,9R,4,32.7,138,,1.63,,69.846,,
7,G2,HR_100,HR_195,10L,5,41.35,131,,2.15,,93.934,,
7,G1,HR_034,HR_080,10R,3,40.801,154,,2.4,,66.597,,
7,G2,HR_171,HR_073,11L,5,27.664,157,,1.51,,59.54,,
7,G2,HR_133,HR_072,11R,3,50.783,161,,2.18,,80.707,,
7,G2,HR_100,HR_135,12L,,,,,,,,,
7,G1,HR_108,HR_177,12R,,,,,,,,,
7,G1,HR_095,HR_178,13L,,,,,,,,,
7,G1,HR_149,HR_007,13R,1,31.28,165,,1.33,,59.268,,
7,G1,HR_062,HR_134,14L,5,42.641,131,,2.18,,72.531,,
7,G1,HR_057,HR_110,14R,1,32.623,140,,1.75,,62.183,,
7,G2,HR_155,HR_047,15L,,,,,,,,,
7,G1,HR_062,HR_136,15R,2,16.782,144,,1.21,,41.372,,
7,G1,HR_088,HR_014,16R,,,,,,,,,
7,G1,HR_196,HR_170,17L,,,,,,,,,
7,G2,HR_085,HR_035,18L,,,,,,,,,
7,G1,HR_110,HR_039,19L,,,,,,,,,
7,G2,HR_148,HR_050,19R,,,,,,,,,
7,G2,HR_147,HR_150,20L,1,21.368,130,,1.26,,70.436,,
7,G1,HR_139,HR_127,21R,4,22.633,144,,1.33,,47.5,,
7,G1,HR_141,HR_184,22L,1,44.158,159,,3.06,,81.373,,
7,G1,HR_168,HR_148,22R,1,26.459,117,,1.38,,50.415,,
7,G1,HR_160,HR_033,23L,2,14.271,160,,0.66,,39.357,,
7,G1,HR_069,HR_156,23R,,,,,,,,,
7,G1,HR_139,HR_129,24L,,,,,,,,,
7,G2,HR_066,HR_087,24R,5,34.243,153,,1.68,,61.11,,
7,G2,HR_057,HR_006,25L,,,,,,,,,
7,G2,HR_057,HR_110,25R,,,,,,,,,
7,G1,HR_066,HR_087,26L,,,,,,,,,
7,G1,HR_160,HR_173,26R,,,,,,,,,
7,G2,HR_115,HR_131,27L,,,,,0.94,,,,
7,G1,HR_135,HR_083,27R,5,47.462,161,,2.49,,73.409,,
7,G2,HR_059,HR_011,28L,3,19.002,146,,0.86,,49.305,,
7,G2,HR_180,HR_023,28R,,,,,,,,,
7,G2,HR_131,HR_113,29L,4,17.763,150,,0.94,,44.919,,
7,G1,HR_085,HR_176,29R,,,,,,,,,
7,G2,HR_133,HR_161,30L,,,,,,,,,
7,G2,HR_168,HR_148,30R,,,,,,,,,
7,G1,HR_088,HR_014,31L,,,,,,,,,
7,G2,HR_131,HR_049,31R,,,,,,,,,
7,G1,HR_168,HR_101,32L,,,,,,,,,
7,G2,HR_141,HR_184,32R,1,34.334,140,,2.21,,62.362,,
7,G1,HR_131,HR_113,33L,1,61.234,162,,2.87,,100.518,,
7,G1,HR_133,HR_161,33R,,,,,,,,,
7,G2,HR_148,HR_114,34L,4,23.908,160,,1.09,,48.336,,
7,G1,HR_156,HR_193,34R,1,64.346,148,part of leaf broken,2.57,,90.903,,
7,G1,HR_189,HR_168,35L,2,32.242,171,,1.22,,51.46,,
7,G2,HR_156,HR_197,35R,,,,,,,,,
7,G2,HR_171,HR_057,36L,,,,,,,,,
7,G1,HR_157,HR_088,36R,3,50.813,177,,2.14,,79.683,,
7,G2,HR_002,HR_059,37L,1,73.344,165,,4.04,,103.389,,
7,G2,HR_100,HR_195,38L,4,42.79,171,,1.95,,81.076,,
7,G2,HR_074,HR_066,38R,,,,,,,,,
7,G1,HR_053,HR_169,39L,2,28.521,128,,1.52,,47.123,,
7,G1,HR_195,HR_068,39R,3,26.52,167,,1.29,,52.617,,
7,G2,HR_156,HR_197,40L,,,,,,,,,
7,G1,HR_008,HR_012,40R,,,,,,,,,
7,G2,HR_149,HR_007,41L,,,,,,,,,
7,G1,HR_005,HR_040,41R,,,,,,,,,
7,G2,HR_189,HR_018,42L,1,41.731,165,,2.77,,65.532,,
7,G1,HR_200,HR_159,42R,,,,,,,,,
7,G1,HR_066,HR_087,43L,,,,,,,,,
7,G2,HR_139,HR_129,43R,,,,,,,,,
7,G1,HR_090,HR_053,44R,,,,,,,,,
7,G2,HR_002,HR_059,45L,,,,,,,,,
7,G1,HR_196,HR_183,45R,,,,,,,,,
8,G1,HR_090,HR_103,1L,,,,,,,,,
8,G2,HR_057,HR_147,1R,,,,,,,,,
8,G2,HR_059,HR_011,2L,,,,,,,,,
8,G1,HR_171,HR_001,2R,,,,,,,,,
8,G1,HR_027,HR_145,3L,3,64.365,135,,3.77,,63.858,,
8,G1,HR_148,HR_114,3R,,,,,,,,,
8,G1,HR_148,HR_109,4L,,,,,,,,,
8,G2,HR_059,HR_155,4R,4,27.494,154,,1.35,,52.798,,
8,G1,HR_059,HR_011,5L,,,,,,,,,
8,G2,HR_088,HR_014,6L,,,,,,,,,
8,G1,HR_171,HR_073,6R,1,17.247,160,,1.06,,39.249,,
8,G1,HR_131,HR_046,7L,,,,,,,,,
8,G1,HR_121,HR_105,7R,5,18.32,164,,0.99,,40.608,,
8,G1,HR_131,HR_113,8L,3,33.026,170,,1.81,,76.079,,
8,G2,HR_131,HR_046,8R,,,,,,,,,
8,G2,HR_085,HR_176,9L,4,26.210,156,,1.68,,56.864,,
8,G2,HR_171,HR_001,9R,,,,,,,,,
8,G1,HR_160,HR_079,10L,,,,,,,,,
8,G1,HR_200,HR_010,10R,,,,,,,,,
8,G2,HR_133,HR_158,11L,,,,,,,,,
8,G2,HR_196,HR_183,11R,1,33.811,153,,1.92,,55.514,,
8,G2,HR_002,HR_059,12L,,,,,,,,,
8,G2,HR_066,HR_078,12R,2,24.448,175,,1.19,,44.129,,
8,G1,HR_164,HR_005,13L,3,41.275,154,,2.25,,59.266,,
8,G1,HR_180,HR_023,13R,,,,,,,,,
8,G1,HR_034,HR_080,14L,,,,,,,,,
8,G1,HR_189,HR_018,14R,,,,,,,,,
8,G1,HR_175,HR_196,15L,1,11.452,109,"Ligh is turned off, poor photo quality",0.97,,31.247,,
8,G1,HR_200,HR_159,15R,,,,,,,,,
8,G2,HR_157,HR_095,16L,,,,,,,,,
8,G1,HR_066,HR_078,16R,,,,,,,,,
8,G1,HR_070,HR_165,17L,,,,,,,,,
8,G1,HR_189,HR_168,17R,,,,,,,,,
8,G2,HR_108,HR_016,18L,5,23.249,135,,1.36,,42.194,,
8,G2,HR_196,HR_170,18R,,,,,,,,,
8,G2,HR_062,HR_116,19L,,,,,,,,,
8,G2,HR_125,HR_086,19R,,,,,,,,,
8,G2,HR_160,HR_079,20R,,,,,,,,,
8,G1,HR_157,HR_085,21R,,,,,,,,,
8,G2,HR_005,HR_040,22L,,,,,,,,,
8,G1,HR_195,HR_068,22R,,,,,,,,,
8,G2,HR_164,HR_041,23L,,,,,,,,,
8,G1,HR_147,HR_118,23R,,,,,,,,,
8,G2,HR_155,HR_047,24L,4,33.274,173,,1.94,,55.279,,
8,G2,HR_069,HR_156,24R,,,,,,,,,
8,G2,HR_155,HR_121,25L,,,,,,,,,
8,G2,HR_064,HR_019,25R,,,,,,,,,
8,G1,HR_085,HR_035,26L,4,40.524,146,,2.52,,75.167,,
8,G1,HR_005,HR_149,26R,,,,,,,,,
8,G2,HR_064,HR_019,27L,3,22.496,162,,1.42,,59.42,,
8,G2,HR_175,HR_027,27R,1,17.937,159,,1.13,,46.139,,
8,G1,HR_135,HR_004,28L,,,,,,,,,
8,G1,HR_085,HR_035,29L,3,18.077,140,,0.96,,34.318,,
8,G2,HR_175,HR_164,29R,2,23.600,177,,1.15,,52.842,,
8,G1,HR_070,HR_123,30L,4,34.912,162,,2,,61.425,,
8,G1,HR_074,HR_070,30R,2,16.239,162,,1.05,,37.553,,
8,G1,HR_064,HR_190,31L,,,,,,,,,
8,G2,HR_200,HR_153,31R,,,,,,,,,
8,G2,HR_110,HR_032,32L,,,,,,,,,
8,G2,HR_002,HR_056,32R,,,,,,,,,
8,G2,HR_108,HR_175,33L,1,81.750,162,,4.03,,117.234,,
8,G1,HR_090,HR_126,33R,2,17.494,159,,0.97,,43.04,,
8,G2,HR_053,HR_169,34L,,,,,,,,,
8,G1,HR_095,HR_124,34R,,,,,,,,,
8,G1,HR_196,HR_183,35R,,,,,,,,,
8,G2,HR_057,HR_006,36L,,,,,,,,,
8,G1,HR_115,HR_131,36R,,,,,,,,,
8,G2,HR_135,HR_152,37L,4,38.433,157,,2.2,,55.873,,
8,G2,HR_168,HR_064,37R,,,,,,,,,
8,G1,HR_085,HR_107,38L,,,,,,,,,
8,G2,HR_115,HR_111,38R,,,,,,,,,
8,G2,HR_168,HR_064,39L,,,,,,,,,
8,G1,HR_141,HR_044,39R,4,44.367,147,,2.82,,78.832,,
8,G2,HR_095,HR_178,40L,,,,,,,,,
8,G1,HR_139,HR_062,40R,1,29.952,150,,1.73,,60.924,,
8,G2,HR_168,HR_101,41L,,,,,,,,,
8,G2,HR_108,HR_175,41R,,,,,,,,,
8,G1,HR_139,HR_129,42L,,,,,,,,,
8,G1,HR_135,HR_152,42R,,,,,,,,,
8,G1,HR_175,HR_027,43L,,,,,,,,,
8,G2,HR_006,HR_146,43R,,,,,,,,,
8,G2,HR_157,HR_085,44L,,,,,,,,,
8,G1,HR_135,HR_083,44R,,,,,,,,,
8,G1,HR_160,HR_033,45L,,,,,,,,,
8,G1,HR_064,HR_028,45R,,,,,,,,,
9,G1,HR_064,HR_190,1L,,,,,,,,,
9,G1,HR_095,HR_020,1R,,,,,,,,,
9,G1,HR_171,HR_001,2L,,,,,,,,,
9,G2,HR_175,HR_196,2R,,,,,,,,,
9,G1,HR_064,HR_019,3R,,,,,,,,,
9,G2,HR_168,HR_148,4L,,,,,,,,,
9,G2,HR_125,HR_086,4R,,,,,,,,,
9,G2,HR_085,HR_035,5L,,,,,,,,,
9,G1,HR_110,HR_039,5R,,,,,,,,,
9,G2,HR_125,HR_034,6L,4,29.017,144,,1.68,,54.779,,
9,G1,HR_156,HR_025,7L,2,23.438,149,,1.41,,43.596,,
9,G2,HR_034,HR_080,7R,,,,,,,,,
9,G2,HR_147,HR_021,8L,,,,,,,,,
9,G1,HR_147,HR_118,8R,4,14.291,133,,0.99,,27.182,,
9,G1,HR_110,HR_032,9L,2,22.138,145,,1.61,,50.03,,
9,G1,HR_155,HR_009,9R,,,,,,,,,
9,G2,HR_141,HR_015,10L,1,18.547,155,leaf is folded,1.08,,39.074,,
9,G2,HR_066,HR_137,10R,3,24.213,142,,1.61,,48.682,,
9,G1,HR_168,HR_064,11L,,,,,,,,,
9,G2,HR_121,HR_105,11R,,,,,,,,,
9,G2,HR_148,HR_114,12L,,,,,,,,,
9,G2,HR_090,HR_053,13L,,,,,,,,,
9,G1,HR_121,HR_139,13R,,,,,,,,,
9,G1,HR_133,HR_161,14L,3,22.163,172,,0.89,,43.805,,
9,G2,HR_200,HR_159,14R,,,,,,,,,
9,G2,HR_074,HR_115,15L,,,,,,,,,
9,G2,HR_053,HR_092,15R,,,,,,,,,
9,G2,HR_149,HR_174,16L,,,,,,,,,
9,G2,HR_062,HR_116,16R,,,,,,,,,
9,G1,HR_069,HR_133,17L,,,,,,,,,
9,G2,HR_053,HR_038,17R,,,,,,,,,
9,G2,HR_090,HR_103,18L,,,,,,,,,
9,G1,HR_155,HR_121,18R,,,,,,,,,
9,G1,HR_180,HR_023,19L,5,24.224,138,,1.03,,leaf broken,,
9,G1,HR_147,HR_021,19R,,,,,,,,,
9,G1,HR_108,HR_016,20L,5,20.688,141,,1.35,,leaf broken,,
9,G2,HR_121,HR_141,20R,1,8.639,147,,0.4,,24.524,,
9,G1,HR_175,HR_027,21L,,,,,,,,,
9,G1,HR_125,HR_086,21R,,,,,,,,,
9,G1,HR_090,HR_126,22L,1,33.321,127,,1.96,,67.585,,
9,G2,HR_155,HR_009,22R,,,,,,,,,
9,G1,HR_196,HR_054,23L,5,26.233,134,,1.54,,58.185,,
9,G1,HR_139,HR_127,23R,2,6.788,134,,0.4,,19.646,,
9,G1,HR_115,HR_131,24L,,,,,,,,,
9,G2,HR_085,HR_176,24R,,,,,,,,,
9,G2,HR_034,HR_112,25L,,,,,,,,,
9,G2,HR_062,HR_136,25R,1,36.112,130,,1.71,,52.01,,
9,G2,HR_121,HR_141,26L,,,,,,,,,
9,G1,HR_147,HR_150,26R,2,53.464,159,,2.53,,65.542,,
9,G1,HR_148,HR_050,27L,,,,,,,,,
9,G1,HR_171,HR_057,27R,,,,,,,,,
9,G1,HR_168,HR_148,28L,1,14.033,154,,0.7,,31.608,,
9,G2,HR_168,HR_148,28R,3,38.392,166,,1.92,,58.613,,
9,G2,HR_006,HR_162,29L,1,19.958,154,,0.86,,42.816,,
9,G2,HR_131,HR_046,29R,1,29.767,147,leaf is folded,1.47,,49.667,,
9,G2,HR_057,HR_147,30L,5,35.982,152,,2.13,,N/A - leaf broken,,
9,G2,HR_121,HR_141,30R,,,,,,,,,
9,G1,HR_062,HR_136,31L,,,,,,,,,
9,G1,HR_027,HR_043,31R,,,,,,,,,
9,G2,HR_110,HR_037,32L,,,,,,,,,
9,G2,HR_095,HR_020,32R,,,,,,,,,
9,G2,HR_070,HR_061,33L,,,,,,,,,
9,G2,HR_148,HR_050,33R,,,,,,,,,
9,G2,HR_053,HR_169,34L,4,14.914,145,,0.99,,32.688,,
9,G2,HR_059,HR_155,34R,,,,,,,,,
9,G1,HR_164,HR_201,35L,,,,,,,,,
9,G1,HR_008,HR_012,35R,,,,,,,,,
9,G1,HR_157,HR_085,36R,3,13.326,147,,0.74,,37.466,,
9,G1,HR_168,HR_064,37L,5,10.913,,,0.72,,28.667,,
9,G2,HR_005,HR_180,38L,1,37.99,157,,1.78,,57.926,,
9,G2,HR_189,HR_051,38R,,,,,,,,,
9,G2,HR_053,HR_092,39L,,,,,,,,,
9,G2,HR_115,HR_131,39R,4,45.621,160,,2.76,,84.83,,
9,G1,HR_164,HR_041,40L,,,,,,,,,
9,G2,HR_121,HR_105,40R,,,,,,,,,
9,G2,HR_164,HR_201,41L,,,,,,,,,
9,G1,HR_148,HR_109,41R,,,,,,,,,
9,G1,HR_135,HR_152,42R,1,21.829,153,,1.3,,47.263,,
9,G1,HR_008,HR_058,43L,,,,,,,,,
9,G2,HR_053,HR_092,43R,,,,,,,,,
9,G2,HR_027,HR_043,44L,,,,,,,,,
9,G2,HR_131,HR_113,44R,,,,,,,,,
9,G2,HR_059,HR_166,45L,,,,,,,,,
9,G1,HR_108,HR_177,45R,,,,,,,,,
9,G1,HR_053,HR_038,46R,,,,,,,,,