,Gen,Donor,Recipient,Segment,Plant_ID,Leaf area (mm^2),Bright-max,Area notes,Dry weight (mg),Weight notes
1,G1,BO_106,BO_104,1L,,,,,,
1,G2,BO_029,BO_061,1R,,,,,,
1,G2,BO_162,BO_089,2L,,,,,,
1,G1,BO_101,BO_024,2R,,,,,,
1,G1,BO_185,BO_153,3L,,,,,,
1,G2,BO_153,BO_177,3R,,,,,,
1,G1,BO_101,BO_182,4L,,,,,,
1,G1,BO_040,BO_029,4R,,,,,,
1,G2,BO_039,BO_200,5L,,,,,,
1,G2,BO_001,BO_151,5R,,,,,,
1,G1,BO_130,BO_161,6L,,,,,,
1,G2,BO_185,BO_071,6R,,,,,,
1,G1,BO_065,BO_115,7L,,,,,,
1,G2,BO_162,BO_108,7R,,,,,,
1,G1,BO_168,BO_175,8L,,,,,,
1,G1,BO_153,BO_157,8R,,,,,,
1,G1,BO_039,BO_200,9L,,,,,,
1,G1,BO_151,BO_056,9R,,,,,,
1,G1,BO_185,BO_085,10L,,,,,,
1,G2,BO_065,BO_078,10R,,,,,,
1,G2,BO_101,BO_080,11L,,,,,,
1,G1,BO_033,BO_099,11R,,,,,,
1,G2,BO_189,BO_126,12L,,,,,,
1,G1,BO_163,BO_034,12R,,,,,,
1,G1,BO_177,BO_139,13L,,,,,,
1,G2,BO_170,BO_045,13R,,,,,,
1,G1,BO_039,BO_087,14L,,,,,,
1,G2,BO_151,BO_056,14R,,,,,,
1,G2,BO_187,BO_031,15L,,,,,,
1,G1,BO_153,BO_177,15R,,,,,,
1,G2,BO_185,BO_071,16L,,,,,,
1,G2,BO_119,BO_051,16R,,,,,,
1,G1,BO_201,BO_189,17L,,,,,,
1,G1,BO_069,BO_043,17R,,,,,,
1,G1,BO_073,BO_117,18L,,,,,,
1,G1,BO_189,BO_142,18R,5,45.093,146,,3.94,
1,G1,BO_013,BO_141,19L,,,,,,
1,G1,BO_170,BO_055,19R,4,43.562,161,,2.72,
1,G1,BO_189,BO_086,20L,,,,,,
1,G2,BO_033,BO_124,20R,,,,,,
1,G2,BO_173,BO_091,21L,,,,,,
1,G1,BO_096,BO_178,21R,,,,,,
1,G1,BO_143,BO_195,22L,,,,,,
1,G1,BO_029,BO_190,22R,,,,,,
1,G1,BO_070,BO_046,23L,,,,,,
1,G2,BO_119,BO_017,23R,,,,,,
1,G1,BO_033,BO_099,24L,1,21.346,147,,1.40,
1,G2,BO_194,BO_098,24R,,,,,,
1,G1,BO_170,BO_055,25L,,,,,,
1,G1,BO_177,BO_139,25R,,,,,,
1,G2,BO_168,BO_155,26L,,,,,,
1,G1,BO_194,BO_037,26R,,,,,,
1,G2,BO_192,BO_127,27L,,,,,,
1,G1,BO_177,BO_139,27R,4,15.721,161,,0.95,
1,G1,BO_163,BO_144,28L,,,,,,
1,G2,BO_033,BO_124,28R,,,,,,
1,G2,BO_130,BO_174,29L,,,,,,
1,G2,BO_199,BO_069,29R,,,,,,
1,G1,BO_162,BO_089,30L,,,,,,
1,G1,BO_109,BO_028,30R,,,,,,
1,G2,BO_109,BO_095,31L,,,,,,
1,G1,BO_130,BO_120,31R,,,,,,
1,G1,BO_185,BO_153,32L,,,,,,
1,G2,BO_033,BO_099,32R,,,,,,
1,G1,BO_001,BO_151,33L,,,,,,
1,G1,BO_201,BO_189,33R,,,,,,
1,G1,BO_109,BO_001,34L,,,,,,
1,G2,BO_032,BO_132,34R,,,,,,
1,G1,BO_128,BO_060,35L,,,,,,
1,G1,BO_170,BO_045,35R,,,,,,
1,G1,BO_119,BO_051,36L,,,,,,
1,G1,BO_013,BO_141,36R,,,,,,
1,G1,BO_194,BO_125,37L,,,,,,
1,G1,BO_074,BO_047,37R,,,,,,
1,G1,BO_198,BO_100,38L,,,,,,
1,G2,BO_192,BO_127,38R,,,,,,
1,G1,BO_177,BO_147,39L,,,,,,
1,G1,BO_088,BO_140,39R,,,,,,
1,G1,BO_069,BO_145,40L,,,,,,
1,G1,BO_199,BO_069,40R,,,,,,
2,G1,BO_168,BO_175,1L,,,,,,
2,G1,BO_192,BO_166,1R,,,,,,
2,G1,BO_070,BO_066,2L,,,,,,
2,G1,BO_151,BO_148,2R,,,,,,
2,G1,BO_201,BO_189,3L,,,,,,
2,G1,BO_001,BO_151,3R,,,,,,
2,G1,BO_069,BO_201,4L,,,,,,
2,G2,BO_177,BO_121,4R,,,,,,
2,G2,BO_069,BO_043,5L,,,,,,
2,G1,BO_149,BO_106,5R,,,,,,
2,G2,BO_177,BO_121,6L,,,,,,
2,G2,BO_039,BO_200,6R,,,,,,
2,G2,BO_109,BO_095,7L,,,,,,
2,G2,BO_074,BO_118,7R,,,,,,
2,G2,BO_058,BO_094,8L,,,,,,
2,G1,BO_040,BO_067,8R,,,,,,
2,G1,BO_040,BO_067,9L,,,,,,
2,G2,BO_189,BO_086,9R,,,,,,
2,G1,BO_199,BO_018,10L,,,,,,
2,G2,BO_069,BO_201,10R,,,,,,
2,G1,BO_173,BO_079,11L,,,,,,
2,G1,BO_033,BO_143,11R,,,,,,
2,G2,BO_201,BO_130,12L,,,,,,
2,G1,BO_058,BO_081,12R,2,15.862,162,,0.76,
2,G1,BO_128,BO_105,13L,,,,,,
2,G1,BO_039,BO_200,13R,,,,,,
2,G1,BO_032,BO_096,14L,4,32.519,145,,2.09,
2,G2,BO_153,BO_157,14R,,,,,,
2,G1,BO_106,BO_104,15L,,,,,,
2,G1,BO_058,BO_081,15R,,,,,,
2,G2,BO_130,BO_174,16L,,,,,,
2,G1,BO_130,BO_174,16R,,,,,,
2,G1,BO_119,BO_051,17L,,,,,,
2,G1,BO_032,BO_088,17R,,,,,,
2,G1,BO_119,BO_017,18L,,,,,,
2,G1,BO_163,BO_144,18R,,,,,,
2,G1,BO_069,BO_201,19L,,,,,,
2,G2,BO_032,BO_132,19R,,,,,,
2,G1,BO_069,BO_043,20L,,,,,,
2,G2,BO_128,BO_060,20R,,,,,,
2,G1,BO_038,BO_137,21L,,,,,,
2,G2,BO_201,BO_199,21R,,,,,,
2,G2,BO_199,BO_015,22L,,,,,,
2,G2,BO_185,BO_153,22R,,,,,,
2,G1,BO_162,BO_164,23L,,,,,,
2,G1,BO_192,BO_021,23R,,,,,,
2,G2,BO_073,BO_070,24L,,,,,,
2,G1,BO_183,BO_063,24R,,,,,,
2,G2,BO_096,BO_134,25L,,,,,,
2,G1,BO_029,BO_061,25R,,,,,,
2,G1,BO_128,BO_044,26L,,,,,,
2,G2,BO_101,BO_182,26R,,,,,,
2,G1,BO_040,BO_171,27L,,,,,,
2,G1,BO_194,BO_037,27R,,,,,,
2,G2,BO_153,BO_157,28L,,,,,,
2,G1,BO_032,BO_096,28R,,,,,,
2,G1,BO_187,BO_031,29L,,,,,,
2,G2,BO_194,BO_037,29R,,,,,,
2,G1,BO_029,BO_190,30L,,,,,,
2,G1,BO_170,BO_055,30R,,,,,,
2,G1,BO_187,BO_031,31L,,,,,,
2,G2,BO_088,BO_169,31R,,,,,,
3,G1,BO_185,BO_153,1L,,,,,,
3,G2,BO_005,BO_176,1R,,,,,,
3,G2,BO_185,BO_085,2L,,,,,,
3,G1,BO_199,BO_015,2R,,,,,,
3,G1,BO_029,BO_190,3L,,,,,,
3,G1,BO_130,BO_120,3R,,,,,,
3,G2,BO_119,BO_013,4L,,,,,,
3,G1,BO_130,BO_174,4R,,,,,,
3,G1,BO_153,BO_177,5L,,,,,,
3,G1,BO_189,BO_086,5R,4,18.553,131,,1.47,
3,G1,BO_065,BO_078,6L,,,,,,
3,G1,BO_170,BO_111,6R,,,,,,
3,G2,BO_128,BO_060,7L,,,,,,
3,G1,BO_039,BO_200,7R,,,,,,
3,G2,BO_194,BO_098,8L,,,,,,
3,G1,BO_013,BO_141,8R,,,,,,
3,G1,BO_070,BO_046,9L,,,,,,
3,G1,BO_199,BO_015,9R,,,,,,
3,G1,BO_109,BO_028,10L,,,,,,
3,G1,BO_106,BO_131,10R,,,,,,
3,G2,BO_199,BO_015,11L,,,,,,
3,G2,BO_001,BO_048,11R,,,,,,
3,G2,BO_163,BO_072,12L,,,,,,
3,G1,BO_162,BO_108,12R,,,,,,
3,G2,BO_153,BO_177,13L,,,,,,
3,G1,BO_198,BO_100,13R,,,,,,
3,G1,BO_168,BO_180,14L,,,,,,
3,G1,BO_170,BO_045,14R,,,,,,
3,G2,BO_188,BO_154,15L,,,,,,
3,G2,BO_074,BO_027,15R,,,,,,
3,G2,BO_069,BO_201,16L,,,,,,
3,G2,BO_040,BO_171,16R,,,,,,
3,G1,BO_058,BO_123,17L,,,,,,
3,G1,BO_119,BO_013,17R,,,,,,
3,G1,BO_199,BO_015,18L,,,,,,
3,G2,BO_143,BO_152,18R,,,,,,
3,G1,BO_001,BO_025,19L,,,,,,
3,G1,BO_187,BO_135,19R,,,,,,
3,G1,BO_143,BO_004,20L,,,,,,
3,G2,BO_088,BO_050,20R,,,,,,
3,G1,BO_128,BO_044,21L,,,,,,
3,G1,BO_109,BO_001,21R,,,,,,
3,G1,BO_149,BO_032,22L,,,,,,
3,G1,BO_119,BO_017,22R,,,,,,
3,G2,BO_187,BO_135,23L,,,,,,
3,G2,BO_058,BO_123,23R,,,,,,
3,G1,BO_033,BO_143,24L,,,,,,
3,G1,BO_168,BO_175,24R,,,,,,
3,G2,BO_032,BO_088,25L,,,,,,
3,G1,BO_106,BO_191,25R,,,,,,
3,G1,BO_170,BO_045,26L,,,,,,
3,G1,BO_033,BO_124,26R,,,,,,
4,G2,BO_119,BO_051,1L,,,,,,
4,G1,BO_065,BO_115,1R,,,,,,
4,G1,BO_039,BO_102,2L,,,,,,
4,G1,BO_194,BO_098,2R,,,,,,
4,G1,BO_177,BO_121,3L,,,,,,
4,G1,BO_177,BO_147,3R,,,,,,
4,G1,BO_058,BO_081,4L,,,,,,
4,G1,BO_074,BO_118,4R,,,,,,
4,G1,BO_177,BO_147,5L,,,,,,
4,G1,BO_192,BO_021,5R,,,,,,
4,G1,BO_187,BO_135,6L,,,,,,
4,G1,BO_106,BO_104,6R,,,,,,
4,G2,BO_040,BO_067,7L,,,,,,
4,G1,BO_058,BO_123,7R,,,,,,
4,G1,BO_151,BO_148,8L,,,,,,
4,G1,BO_198,BO_158,8R,,,,,,
4,G1,BO_109,BO_095,9L,5,36.892,152,,2.86,
4,G1,BO_143,BO_004,9R,,,,,,
4,G1,BO_168,BO_180,10L,,,,,,
4,G2,BO_187,BO_150,10R,,,,,,
4,G1,BO_183,BO_063,11L,,,,,,
4,G1,BO_073,BO_070,11R,,,,,,
4,G1,BO_192,BO_166,12L,,,,,,
4,G1,BO_153,BO_022,12R,,,,,,
4,G2,BO_109,BO_095,13L,,,,,,
4,G1,BO_183,BO_198,13R,,,,,,
4,G1,BO_188,BO_052,14L,,,,,,
4,G1,BO_201,BO_199,14R,,,,,,
4,G1,BO_185,BO_071,15L,,,,,,
4,G2,BO_187,BO_031,15R,,,,,,
4,G1,BO_189,BO_126,16L,,,,,,
4,G2,BO_013,BO_141,16R,,,,,,
4,G1,BO_188,BO_154,17L,,,,,,
4,G1,BO_096,BO_012,17R,,,,,,
4,G1,BO_013,BO_053,18L,,,,,,
4,G1,BO_013,BO_053,18R,,,,,,
4,G1,BO_194,BO_125,19L,,,,,,
4,G1,BO_101,BO_024,19R,,,,,,
4,G1,BO_187,BO_150,20L,,,,,,
4,G1,BO_173,BO_054,20R,,,,,,
4,G1,BO_149,BO_106,21L,,,,,,
4,G1,BO_022,BO_146,21R,,,,,,
4,G1,BO_173,BO_054,22L,,,,,,
4,G1,BO_040,BO_029,22R,,,,,,
4,G1,BO_013,BO_114,23L,,,,,,
4,G1,BO_153,BO_022,23R,,,,,,
4,G2,BO_192,BO_021,24L,,,,,,
4,G2,BO_106,BO_131,24R,,,,,,
4,G2,BO_162,BO_108,25L,,,,,,
4,G1,BO_032,BO_132,25R,,,,,,
4,G1,BO_130,BO_161,26L,,,,,,
4,G1,BO_065,BO_014,26R,,,,,,
4,G1,BO_201,BO_199,27L,,,,,,
4,G1,BO_163,BO_072,27R,,,,,,
5,G2,BO_096,BO_012,1L,,,,,,
5,G1,BO_201,BO_130,1R,,,,,,
5,G1,BO_189,BO_126,2L,,,,,,
5,G1,BO_149,BO_032,2R,,,,,,
5,G2,BO_088,BO_050,3L,2,53.435,127,,4.65,
5,G1,BO_022,BO_009,3R,,,,,,
5,G1,BO_151,BO_167,4L,,,,,,
5,G1,BO_198,BO_159,4R,1,39.524,145,,2.12,
5,G2,BO_058,BO_123,5L,,,,,,
5,G2,BO_188,BO_052,5R,4,28.376,149,,2.03,
5,G2,BO_199,BO_069,6L,,,,,,
5,G2,BO_188,BO_008,6R,,,,,,
5,G2,BO_074,BO_118,7L,,,,,,
5,G2,BO_001,BO_025,7R,1,57.185,152,,4.79,
5,G1,BO_143,BO_004,8L,2,27.377,143,,2.01,
5,G1,BO_119,BO_013,8R,3,18.634,144,,1.15,
5,G1,BO_033,BO_124,9L,3,31.688,153,,,
5,G2,BO_194,BO_037,9R,,,,,,
5,G1,BO_183,BO_116,10L,,,,,,
5,G1,BO_168,BO_155,10R,,,,,,
5,G1,BO_183,BO_116,11L,,,,,,
5,G1,BO_162,BO_164,11R,,,,,,
5,G1,BO_070,BO_184,12L,,,,,,
5,G2,BO_173,BO_079,12R,,,,,,
5,G2,BO_058,BO_094,13L,,,,,,
5,G1,BO_187,BO_135,13R,,,,,,
5,G1,BO_058,BO_094,14L,,,,,,
5,G1,BO_101,BO_182,14R,,,,,,
5,G1,BO_096,BO_178,15L,,,,,,
5,G2,BO_173,BO_091,15R,,,,,,
5,G1,BO_088,BO_169,16L,,,,,,
5,G1,BO_065,BO_078,16R,,,,,,
5,G1,BO_199,BO_018,17L,,,,,,
5,G2,BO_130,BO_174,17R,,,,,,
5,G1,BO_143,BO_152,18L,,,,,,
5,G2,BO_189,BO_086,18R,,,,,,
5,G2,BO_101,BO_182,19L,,,,,,
5,G2,BO_149,BO_032,19R,,,,,,
5,G1,BO_033,BO_124,20L,3,32.328,140,,2.46,
5,G2,BO_170,BO_045,20R,,,,,,
5,G1,BO_187,BO_150,21L,,,,,,
5,G1,BO_058,BO_094,21R,,,,,,
5,G1,BO_005,BO_019,22L,,,,,,
5,G2,BO_058,BO_094,22R,,,,,,
5,G1,BO_153,BO_177,23L,,,,,,
5,G2,BO_151,BO_056,23R,,,,,,
5,G1,BO_106,BO_191,24L,,,,,,
5,G1,BO_183,BO_198,24R,,,,,,
5,G1,BO_187,BO_031,25L,4,35.178,131,,2.39,
5,G1,BO_022,BO_020,25R,,,,,,
5,G1,BO_032,BO_088,26L,,,,,,
5,G1,BO_029,BO_090,26R,,,,,,
5,G1,BO_040,BO_171,27L,,,,,,
5,G1,BO_189,BO_142,27R,,,,,,
5,G2,BO_029,BO_190,28L,,,,,,
5,G1,BO_038,BO_082,28R,,,,,,
5,G1,BO_109,BO_001,29L,,,,,,
5,G2,BO_162,BO_164,29R,,,,,,
5,G1,BO_032,BO_132,30L,,,,,,
5,G1,BO_032,BO_132,30R,,,,,,
5,G1,BO_128,BO_105,31L,,,,,,
5,G1,BO_177,BO_121,31R,,,,,,
5,G1,BO_194,BO_098,32L,,,,,,
5,G2,BO_162,BO_108,32R,,,,,,
5,G1,BO_163,BO_072,33L,,,,,,
5,G2,BO_040,BO_067,33R,,,,,,
5,G2,BO_194,BO_125,34L,,,,,,
5,G2,BO_022,BO_146,34R,,,,,,
5,G1,BO_119,BO_017,35L,,,,,,
5,G1,BO_130,BO_174,35R,,,,,,
5,G1,BO_065,BO_078,36L,,,,,,
5,G1,BO_039,BO_102,36R,,,,,,
5,G1,BO_101,BO_080,37L,,,,,,
5,G1,BO_101,BO_080,37R,,,,,,
5,G2,BO_198,BO_159,38L,1,36.517,150,,,
5,G1,BO_189,BO_086,38R,,,,,,
5,G1,BO_096,BO_134,39L,,,,,,
5,G1,BO_188,BO_154,39R,,,,,,
5,G1,BO_128,BO_060,40L,,,,,,
5,G1,BO_163,BO_034,40R,,,,,,
5,G2,BO_029,BO_090,41L,,,,,,
5,G1,BO_106,BO_191,41R,,,,,,
5,G2,BO_194,BO_037,42L,,,,,,
5,G1,BO_192,BO_127,42R,,,,,,
5,G2,BO_073,BO_070,43L,,,,,,
